Heart Rate,Carbs per hour,Fat per hour,Calories per hour
0,0,0,0
107,61,13,412
122,95,26,698
126,115,19,716
127,126,16,740
132,133,16,765
134,128,18,769
136,139,17,805
140,167,9,839
142,165,9,867
143,158,15,893
146,173,11,917
147,166,16,932
151,188,8,957
153,204,3,975
154,194,10,1001
157,209,5,1025
160,218,4,1003
161,206,7,1041
163,231,0,1100
165,244,0,1091
167,243,0,1100
168,244,0,1143
171,253,0,1118
173,248,0,1135
174,251,0,1192
178,264,0,1221
181,270,0,1250
