Heart Rate,Carbs per hour,Fat per hour,Calories per hour
0,0,0,0
92,25,23,347
95,75,8,425
104,87,12,510
106,96,8,512
112,104,12,590
118,128,8,664
122,134,8,685
126,139,9,725
132,172,3,812
138,184,2,849
142,209,0,942
148,226,0,1010
153,231,0,1043
158,249,0,1127
163,257,0,1162
168,268,0,1200
185,272,0,1229
